FA20-BSCVE-B4,Advanced Surveying,2,100,CVE Engr. H. M. Sohaib Yasin,Surveying Lab
FA20-BSCVE-B4,Advanced Fluid Mechanics,2,10000,CVE Engr. H. M. Sohaib Yasin,Water Supply Engineering Lab
FA19-BSCVE-B3,Project Planning and Management,2,1,CVE Engr. Hiba Arshad,A1
FA19-BSCVE-B3,Project Planning and Management,2,10000,CVE Engr. Hiba Arshad,A1.1
FA19-BSCVE-B3,Water Supply Engineering,2,100,CVE Engr. Waqar Ahsan,Water Supply Engineering Lab
FA19-BSCVE-B3,Highway Engineering,2,1000,CVE Engr. H. M. Sohaib Yasin,Highway Engineering Lab
FA18-BSCVE-B2,Reinforced Concrete Design-II,2,10,CVE Engr. Khadim Hussain,B3
FA18-BSCVE-B2,Steel Structures,2,1000,CVE Engr. Fayyaz Ulhaq,W3
FA18-BSCVE-B2,Quantity Survey and Cost Estimation,2,1,CVE Engr. Muhammad Shakil,W3
FA21-BSEE-B10A,Differential Equations,2,1,EE Ms Amna Bashir,A2.1
FA21-BSEE-B10A,Introduction to Computer Programming,2,1000,EE Mr Hamid,DigitalLab
FA21-BSEE-B10A,Digital Logic Design,2,100,EE Dr. Saeeda,A2.8
FA20-BSEE-B9A,Probability Methods in Engineering,2,10,EE Dr. Abuzar Baqir,A1.1
FA20-BSEE-B9A,Electronics II,2,1,EE Dr Sohaib,A1.2
FA20-BSEE-B9A,Electromagnetic Theory,2,1000,EE Dr Musab,A2.1
FA20-BSEE-B9A,Electromagnetic Theory,2,10000,EE Dr Musab,A2.2
FA20-BSEE-B9A,Electrical Measurements and Instrumentation,2,100,EE Mr. Ahsan,EMILab
FA19-BSEE-B8A,Data Communications and Computer Networks,2,1,EE Dr Saqlain,A2.2
FA19-BSEE-B8A,Engineering Economics,2,100,EE Mr. Asif Imran,A2.2
FA19-BSEE-B8A,Digital Signal Processing,2,10000,EE Ms Rida,DigitalLab
FA19-BSEE-B8A,Data Communications and Computer Networks,2,10,EE Mr Asad Ali Khan,DigitalLab
FA19-BSEE-B8A,Electric Machines,2,1000,EE Mr Asim,MachineLab
FA21-BSME-B17-A,Engineering Materials,2,1,ME Mr. Muzammil Hussain,A3
FA21-BSME-B17-A,Workshop Practice,2,11000,ME Mr. Jawad,Workshop
FA21-BSME-B17-A,Workshop Practice,2,11000,ME Ms.Saba Gull,Workshop
FA20-BSME-B16-A,Statistics and Probability Theory,2,10,EE Mr. Khalid Majeed,A1.3
FA20-BSME-B16-A,Mechanics of Materials Lab,2,100,ME Mr. Jawad,Mechanics of Materials Lab
FA20-BSME-B16-A,Mechanics of Materials Lab,2,100,ME Mr. Ghulam Mustafa,Mechanics of Materials Lab
FA20-BSME-B16-B,Mechanics of Materials II,2,10000,ME Mr. Salman Nawaz,MachineLab
FA20-BSME-B16-B,Circuits and Electronics Lab,2,1000,ME Ms. Arfa,Elab
FA20-BSME-B16-B,Circuits and Electronics Lab,2,1000,ME Mr.Aamir,Elab
FA20-BSME-B16-B,Mechanics of Materials Lab,2,1,ME Mr. Jawad,Mechanics of Materials Lab
FA20-BSME-B16-B,Mechanics of Materials Lab,2,1,ME Mr. Ghulam Mustafa,Mechanics of Materials Lab
FA19-BSME-B15-A,Mechanics of Machines II,2,1,ME Mr. Muhammad Hunzala,A1.1
FA19-BSME-B15-A,Manufacturing Processes,2,1000,ME Dr. Tauqeer Anwar,A2.2
FA19-BSME-B15-A,Mechanics of Machines II,2,10,ME Mr. Muhammad Hunzala,Mechanics of Materials Lab
FA19-BSME-B15-A,Instrumentation and Measurement,2,100,ME Mr. Muzammil Hussain,Control Lab
FA19-BSME-B15-B,Instrumentation and Measurement,2,1000,ME Mr. Muzammil Hussain,A1.1
FA19-BSME-B15-B,Entrepreneurship,2,100,ME Dr. Salman Mustafa,W4
FA19-BSME-B15-B,Machine Design (1hr),2,1,ME Mr. Salman Nawaz,MachineLab
FA18-BSME-B14-A,IC Engines & Power Plants Lab,2,1000,ME Mr. Naveed,Thermodynamics Lab
FA18-BSME-B14-A,IC Engines & Power Plants Lab,2,1000,ME Mr. Zafar,Thermodynamics Lab
FA18-BSME-B14-A,Finite Element Analysis Lab,2,10,ME Mr. Ali Zahid,CAD CAM Lab
FA18-BSME-B14-B,Finite Element Analysis (1 hr),2,1000,ME Mr. Ziaullah,A1.3
FA18-BSME-B14-B,Control Engineering,2,100,ME Mr. Khawar Hussain,A1.3
FA18-BSME-B14-B,Power Plants,2,10000,ME Dr. Tauqeer Anwar,A1.3
FA18-BSME-B14-B,IC Engines & Power Plants Lab,2,10,ME Mr. Naveed,Thermodynamics Lab
FA18-BSME-B14-B,IC Engines & Power Plants Lab,2,10,ME Mr. Zafar,Thermodynamics Lab
FA21-BSBI-B25,Principles of Biochemistry II,2,10,BI Dr Qudsia,C2.2
FA21-BSBI-B25,Introduction to Computer Programming,2,1000,ME Mr. Muhammad Hunzala,B6
FA21-BSBI-B25,Introduction to Sociology,2,1,MS Mr M Zia Hassan,B9
FA21-BSBI-B25,Introduction to Computer Programming,2,100,ME Ms.Saba Gull,C Lab3
SP21-BSBI-B24,Introductory Molecular Biology,2,10,BI Dr Azhar,C2.3
SP21-BSBI-B24,Introductory Molecular Biology,2,100,BI Dr Azhar,A3
SP21-BSBI-B24,Data Structure,2,1,EE Dr waqas,B6
SP21-BSBI-B24,Linux for Biological Sciences,2,10000,BI Ms Anum,C Lab1
SP21-BSBI-B24,Data Structure,2,1000,EE Mr. Amir Sabri,C Lab3
FA20-BSBI-B23,Introduction to Bioinformatics ,2,10000,BI Dr Azhar,C5
FA20-BSBI-B23,Microbiology and Immunology,2,1,BI Dr Ibrahim,C2.5
FA20-BSBI-B23,Microbiology and Immunology,2,10,BI Dr Ibrahim,B7
FA20-BSBI-B23,Introduction to Management,2,100,MS Ms Sadaf Noor,B8
